customer_id,state,income,employment_type,credit_score,loan_amount,loan_tenure,existing_loans_count,outstanding_debt,repayment_history_score,default_history,monthly_expenses,debt_to_income_ratio,risk_category,loan_eligible
CID000037,Tamil Nadu,51173.0,Business Owner,618,226669.0,60,1,81714.0,82.3,0,23169.0,1.5968,Medium,1
CID000038,Maharashtra,54329.0,Freelancer,569,682210.0,48,1,76638.0,89.1,0,39691.0,1.4106,Medium,0
CID000039,Andhra Pradesh,188192.0,Self-Employed,723,248118.0,48,0,197496.0,73.5,0,86665.0,1.0494,Low,1
CID000040,Gujarat,200646.0,Self-Employed,623,472661.0,60,0,493576.0,68.6,0,88208.0,2.4599,Medium,1
CID000041,Maharashtra,42034.0,Salaried,631,461884.0,60,1,89733.0,66.7,1,28155.0,2.1348,High,0
CID000042,Gujarat,193974.0,Freelancer,543,180342.0,12,1,411332.0,58.5,0,114320.0,2.1206,Medium,0
CID000043,Maharashtra,130659.0,Government,815,1077696.0,120,2,213219.0,60.1,0,62670.0,1.6319,Low,1
CID000044,Odisha,109643.0,Salaried,844,654017.0,24,1,270151.0,91.2,0,64474.0,2.4639,Low,1
CID000045,Tamil Nadu,36323.0,Self-Employed,587,557340.0,84,2,107656.0,48.1,1,27595.0,2.9639,High,0
CID000046,Telangana,58085.0,Salaried,748,271366.0,48,5,485347.0,72.8,0,78400.0,8.3558,Low,1
CID000047,Tamil Nadu,28921.0,Self-Employed,642,663812.0,60,0,43069.0,69.5,0,8744.0,1.4892,Medium,1
CID000048,Rajasthan,69330.0,Self-Employed,778,209169.0,180,1,261741.0,41.5,0,46237.0,3.7753,Low,1
CID000049,Rajasthan,107490.0,Salaried,676,379612.0,36,2,66819.0,86.8,0,85897.0,0.6216,Low,1
CID000050,Karnataka,38500.0,Salaried,657,968683.0,120,5,149263.0,43.3,0,12559.0,3.877,Medium,1
CID000051,Himachal Pradesh,173580.0,Salaried,450,465950.0,12,0,307818.0,55.1,1,105131.0,1.7733,High,0
CID000052,Madhya Pradesh,37920.0,Self-Employed,579,52543.0,180,1,147542.5,68.3,0,18931.0,3.8909,Medium,0
CID000053,Assam,143337.0,Self-Employed,651,954228.0,36,1,446236.0,69.4871955128205,0,83459.0,3.1132,Medium,1
CID000054,Bihar,38666.0,Salaried,665,72537.0,120,2,125549.0,80.4,0,17551.0,3.247,Medium,1
CID000055,West Bengal,72878.0,Business Owner,648,165894.0,24,2,174557.0,76.2,0,49311.0,2.3952,Medium,1
CID000056,Jharkhand,28630.0,Business Owner,591,165181.0,48,1,135149.0,97.0,0,9924.0,4.7205,Medium,1
CID000057,Maharashtra,48387.0,Salaried,694,217965.0,84,1,147542.5,64.7,0,16690.0,3.0492,Medium,1
CID000058,Karnataka,29484.0,Salaried,539,107405.0,84,1,44599.0,100.0,0,31478.0,1.5127,Medium,0
CID000059,Maharashtra,146994.0,Business Owner,660,241391.0,84,0,463045.0,80.1,0,67688.0,3.1501,Medium,1
CID000060,Uttar Pradesh,44681.0,Government,749,305255.0,48,2,167304.0,72.7,0,34027.0,3.7444,Low,1
CID000061,Uttar Pradesh,181283.0,Salaried,680,66171.0,84,4,267618.0,34.1,0,71821.0,1.4762,Medium,1
CID000062,Tamil Nadu,68769.0,Salaried,676,173808.0,60,1,40094.0,89.5,0,47306.0,0.583,Low,1
CID000063,Haryana,31913.0,Salaried,488,554919.0,60,1,156061.0,80.7,0,25125.0,4.8902,Medium,0
CID000064,Uttar Pradesh,244823.60000000012,Self-Employed,584,1079905.0,60,3,888032.7499999994,65.5,0,117036.0,3.6272,Medium,1
CID000065,Tamil Nadu,29620.0,Salaried,814,31871.0,36,0,57509.0,59.9,0,22474.0,1.9416,Low,1
CID000066,Rajasthan,162415.0,Salaried,602,827146.0,120,1,255968.0,100.0,0,74460.0,1.576,Low,1
CID000067,Karnataka,159036.0,Business Owner,751,1060556.0,180,2,190169.0,54.1,0,91775.0,1.1958,Low,1
CID000068,Madhya Pradesh,31749.0,Self-Employed,648,262079.0,36,2,114047.0,77.0,0,9530.0,3.5921,Medium,1
CID000069,Maharashtra,60261.0,Salaried,627,179506.0,60,1,234946.0,70.7,1,26040.0,3.8988,High,0
CID000070,Chhattisgarh,131676.0,Salaried,691,1177675.0,60,0,314944.0,83.8,0,42966.0,2.3918,Low,1
CID000071,Kerala,58085.0,Self-Employed,658,564247.0,60,2,74879.0,31.6,0,14807.0,1.2891,Medium,1
CID000072,Karnataka,95991.0,Salaried,680,218273.0,12,2,241826.0,83.5,0,76583.0,2.5193,Low,1
CID000073,Maharashtra,49406.0,Salaried,584,354754.0,120,1,139503.0,100.0,0,33717.0,2.8236,Medium,1
CID000074,Haryana,37258.0,Freelancer,559,360779.0,180,1,109736.0,32.0,1,17445.0,2.9453,High,0
CID000075,Andhra Pradesh,94693.0,Salaried,579,376704.0,24,2,236273.0,51.0,1,31478.0,2.4951,High,0
CID000076,Kerala,116734.0,Business Owner,607,173189.0,180,0,60328.0,81.3,0,65777.0,0.5168,Medium,1
CID000077,Kerala,70764.0,Government,631,482733.0,180,0,185613.0,67.3,0,53705.0,2.623,Medium,1
CID000078,Maharashtra,12780.0,Salaried,732,241768.0,60,1,26361.0,83.6,0,5425.0,2.0627,Low,1
CID000079,Uttar Pradesh,58085.0,Salaried,656,584561.0,36,2,500960.0,84.9,0,92740.0,8.6246,Medium,1
CID000080,Maharashtra,118455.0,Self-Employed,648,250245.0,36,0,96209.0,74.5,0,35920.0,0.8122,Low,1
CID000081,Punjab,63719.0,Freelancer,661,233237.0,60,2,283954.0,100.0,0,42291.0,4.4563,Low,1
CID000082,Telangana,66898.0,Government,560,170623.0,60,0,296992.0,85.0,0,39405.0,4.4395,Medium,0
CID000083,Uttar Pradesh,81758.0,Business Owner,651,107693.0,84,1,248423.0,43.5,0,50005.0,3.0385,Medium,1
CID000084,Maharashtra,185795.0,Salaried,660,13461.0,120,3,709186.0,84.0,0,123166.0,3.817,Medium,1
CID000085,Tamil Nadu,40025.0,Business Owner,710,1068012.0,180,0,98884.0,69.3,0,19639.0,2.4706,Low,1
CID000086,Uttar Pradesh,61699.0,Salaried,564,1187670.0,120,1,147542.5,81.0,0,23334.0,2.3913,Medium,0
CID000087,Kerala,61996.0,Self-Employed,486,315700.0,180,2,203317.0,93.4,1,31478.0,3.2795,High,0
CID000088,Telangana,45817.0,Salaried,664,302054.0,60,0,95872.0,100.0,0,30512.0,2.0925,Low,1
CID000089,Bihar,157495.0,Salaried,678,251617.0,12,1,759744.0,71.7,0,125536.0,4.8239,Medium,1
CID000090,Gujarat,41688.0,Business Owner,635,427788.0,24,2,133890.0,86.8,0,21870.0,3.2117,Medium,1
CID000091,Maharashtra,30689.0,Self-Employed,652,249252.0,36,0,152137.0,48.4,0,11843.0,4.9574,Medium,1
CID000092,Andhra Pradesh,55749.0,Salaried,720,75021.0,84,3,136343.0,60.7,1,18668.0,2.4457,Medium,1
CID000093,Kerala,14034.0,Salaried,613,223162.0,48,3,11741.85,58.7,0,7587.0,0.8367,Medium,1
CID000094,West Bengal,60521.0,Freelancer,627,390516.0,36,2,112627.0,90.7,0,39829.0,1.861,Low,1
CID000095,Kerala,119926.0,Business Owner,656,23889.0,180,0,411171.0,100.0,0,72082.0,3.4285,Low,1
CID000096,Gujarat,65684.0,Salaried,552,488576.0,240,1,301919.0,69.4871955128205,0,29279.0,4.5965,Medium,0
CID000097,Rajasthan,47764.0,Salaried,637,10000.0,12,4,156104.0,87.2,0,28526.0,3.2682,Medium,1
CID000098,Gujarat,75659.0,Salaried,644,566533.0,24,4,198448.0,92.5,0,31478.0,2.6229,Medium,1
CID000099,Maharashtra,62439.0,Government,780,394990.0,60,1,53906.0,35.4,0,31478.0,0.8633,Low,1
CID000100,Maharashtra,32858.0,Self-Employed,626,265913.0,48,1,37832.0,34.2,0,16580.0,1.1514,Medium,1
CID000101,Maharashtra,33216.0,Self-Employed,666,677483.0,120,2,24600.0,52.6,0,24505.0,0.7406,Medium,1
CID000102,Telangana,27406.0,Self-Employed,723,22276.0,84,1,101410.0,44.9,1,18533.0,3.7003,Medium,1
CID000103,Tamil Nadu,56025.0,Salaried,583,124033.0,24,1,237541.0,80.2,1,42847.0,4.2399,High,0
CID000104,Rajasthan,62423.0,Freelancer,760,328114.0,60,2,77402.0,100.0,0,46567.0,1.24,Low,1
CID000105,Odisha,171607.0,Self-Employed,791,269340.0,48,2,336958.0,70.2,0,72708.0,1.9635,Low,1
CID000106,Maharashtra,138108.0,Salaried,647,652168.0,240,4,366812.0,56.9,0,100966.0,2.656,Medium,1
CID000107,Uttar Pradesh,27419.0,Salaried,606,254093.0,60,2,31327.0,76.1,1,16658.0,1.1425,Medium,1
CID000108,Kerala,102048.0,Self-Employed,780,249389.0,180,2,242145.0,55.6,0,79705.0,2.3729,Low,1
CID000109,Tamil Nadu,98309.0,Government,713,262351.0,12,0,476871.0,59.1,0,39119.0,4.8507,Medium,1
CID000110,Maharashtra,62679.0,Salaried,656,123275.0,24,1,234179.0,66.1,0,29579.0,3.7362,Medium,1
CID000111,Tamil Nadu,77186.0,Freelancer,764,222528.0,48,0,147542.5,77.8,0,38617.0,1.9115,Low,1
CID000112,Karnataka,11290.0,Business Owner,755,266831.0,180,3,11741.85,36.7,0,3520.0,1.04,Low,1
CID000113,Jharkhand,244823.60000000012,Salaried,623,175648.0,60,0,96712.0,29.4,1,20856.0,0.395,High,0
CID000114,Madhya Pradesh,39679.0,Salaried,669,566009.0,120,2,196243.0,52.8,0,30628.0,4.9458,Medium,1
CID000115,Telangana,16986.0,Salaried,696,228309.0,36,0,69129.0,80.4,1,12020.0,4.0698,Medium,1
CID000116,Bihar,35297.0,Business Owner,652,321500.0,24,4,64207.0,44.7,0,14105.0,1.819,Medium,1
CID000117,Madhya Pradesh,53555.0,Salaried,538,308893.0,36,0,33111.0,100.0,0,23628.0,0.6183,Medium,0
CID000118,Karnataka,39426.0,Salaried,574,1074266.0,84,3,92682.0,69.4871955128205,0,31071.0,2.3508,Medium,0
CID000119,Bihar,153487.0,Self-Employed,541,1209079.0,180,1,187625.0,83.4,0,50637.0,1.2224,Medium,0
CID000120,Rajasthan,102481.0,Business Owner,689,201993.0,60,1,134379.0,87.1,0,54009.0,1.3113,Low,1
CID000121,Madhya Pradesh,58085.0,Salaried,555,271981.0,36,1,284681.0,78.5,1,172032.0,4.9011,High,0
CID000122,Bihar,47233.0,Salaried,665,319618.0,84,2,176568.0,80.1,0,30639.0,3.7382,Medium,1
CID000123,Tamil Nadu,23041.0,Self-Employed,796,264680.0,36,0,15236.0,94.8,0,18229.0,0.6613,Low,1
CID000124,Maharashtra,50214.0,Salaried,764,327937.0,60,1,152715.0,90.0,0,39546.0,3.0413,Low,1
CID000125,Tamil Nadu,41715.0,Freelancer,503,67579.0,24,1,162118.0,69.4871955128205,1,28205.0,3.8863,High,0
CID000126,Uttar Pradesh,58085.0,Salaried,547,1376169.1900000004,120,2,11741.85,100.0,0,4345.0,0.2021,Medium,0
CID000127,Haryana,23594.0,Freelancer,587,114609.0,120,0,106602.0,71.5,0,14439.0,4.5182,Medium,1
CID000128,Punjab,60898.0,Business Owner,556,368020.0,60,1,51861.0,60.9,1,42441.0,0.8516,High,0
CID000129,Maharashtra,10590.0,Self-Employed,517,310288.0,12,3,37829.0,40.3,0,4727.0,3.5721,High,0
CID000130,Rajasthan,52343.0,Business Owner,649,25577.0,36,1,66676.0,55.6,1,27701.0,1.2738,Medium,1
CID000131,Uttar Pradesh,109415.0,Salaried,706,844130.0,24,1,451571.0,94.0,0,69330.0,4.1271,Low,1
CID000132,Karnataka,41884.0,Salaried,726,369411.0,60,1,128637.0,69.3,0,18248.0,3.0713,Low,1
CID000133,Maharashtra,38542.0,Business Owner,612,30774.0,24,2,121462.0,79.6,0,24226.0,3.1514,Medium,1
CID000134,Uttar Pradesh,66819.0,Self-Employed,628,599959.0,180,2,137453.0,71.6,0,24923.0,2.0571,Medium,1
CID000135,Assam,189226.0,Self-Employed,678,1123008.0,180,0,335816.0,45.9,1,96455.0,1.7747,Medium,1
CID000136,Uttar Pradesh,124119.0,Salaried,641,821842.0,36,2,320840.0,64.2,0,43561.0,2.5849,Medium,1
CID000137,Maharashtra,176345.0,Government,714,338359.0,84,0,689458.0,53.3,0,127285.0,3.9097,Medium,1
CID000138,Andhra Pradesh,58085.0,Self-Employed,684,299142.0,84,2,147542.5,69.4871955128205,0,19704.0,2.5401,Low,1
CID000139,Uttar Pradesh,71404.0,Salaried,619,198803.0,48,2,297984.0,52.2,0,54489.0,4.1732,Medium,1
CID000140,Himachal Pradesh,39806.0,Salaried,501,368553.0,36,1,105854.0,79.6,1,27624.0,2.6592,High,0
CID000141,Uttarakhand,142155.0,Business Owner,769,1220211.0,24,0,360357.0,69.4871955128205,0,65057.0,2.535,Low,1
CID000142,Tamil Nadu,61411.0,Business Owner,595,909760.0,84,0,35292.0,70.7,1,36954.0,0.5747,High,0
CID000143,Gujarat,65056.0,Self-Employed,678,155973.0,36,1,68886.0,30.2,1,33849.0,1.0589,High,0
CID000144,Tamil Nadu,78717.0,Freelancer,496,162651.0,84,3,192374.0,42.9,1,55340.0,2.4439,High,0
CID000145,Tamil Nadu,38411.0,Salaried,649,413778.0,180,3,188822.0,82.9,0,24704.0,4.9158,Medium,1
CID000146,Maharashtra,176059.0,Salaried,658,364081.0,60,2,286214.0,54.9,1,110371.0,1.6257,Medium,1
CID000147,West Bengal,91308.0,Freelancer,661,247595.0,240,0,49867.0,54.9,0,60550.0,0.5461,Medium,1
CID000148,Maharashtra,119809.0,Freelancer,891,226099.0,84,1,294886.0,71.4,0,61177.0,2.4613,Low,1
CID000149,Maharashtra,137675.0,Salaried,599,37817.0,48,2,78721.0,54.3,1,69791.0,0.5718,High,0
CID000150,Tamil Nadu,8000.0,Freelancer,715,239871.0,180,3,16103.0,27.6,0,3805.0,2.0129,Medium,1
CID000151,Odisha,58914.0,Salaried,691,107066.0,48,5,123321.0,51.5,1,22395.0,2.0932,High,0
CID000152,Tamil Nadu,48828.0,Freelancer,595,269079.0,240,3,24931.0,61.9,1,23496.0,0.5106,High,0
CID000153,Karnataka,45138.0,Salaried,714,392229.0,60,4,147542.5,58.9,0,27800.0,3.2687,Medium,1
CID000154,Gujarat,26531.0,Salaried,636,1376169.1900000004,240,5,122250.0,84.0,0,31478.0,4.6078,Medium,1
CID000155,Chhattisgarh,244823.60000000012,Salaried,720,278630.0,36,1,39955.0,71.8,0,3174.0,0.1632,Low,1
CID000156,Tamil Nadu,22762.0,Salaried,806,369733.0,12,1,63494.0,70.4,0,17724.0,2.7895,Low,1
CID000157,Telangana,37193.0,Salaried,662,647726.0,36,2,69914.0,93.1,0,21979.0,1.8798,Low,1
CID000158,Kerala,66948.0,Salaried,627,187122.0,24,0,249624.0,38.8,0,21164.0,3.7286,Medium,1
CID000159,Tamil Nadu,56137.0,Salaried,734,251246.0,84,2,214111.0,100.0,0,38776.0,3.8141,Low,1
CID000160,Kerala,34619.0,Salaried,761,364869.0,36,2,76381.0,100.0,0,22063.0,2.2063,Low,1
CID000161,Uttar Pradesh,27180.0,Self-Employed,579,281509.0,84,1,82766.0,67.7,0,13440.0,3.0451,Medium,0
CID000162,Telangana,58136.0,Salaried,613,249595.0,84,2,244053.0,62.1,0,37710.0,4.198,Medium,1
CID000163,Telangana,72167.0,Salaried,648,388737.0,84,3,97518.0,96.9,0,54645.0,1.3513,Low,1
CID000164,Rajasthan,66268.0,Business Owner,639,311790.0,120,2,39239.0,64.7,1,27025.0,0.5921,Medium,1
CID000165,Maharashtra,57122.0,Freelancer,573,105651.0,24,0,167289.0,77.1,0,32227.0,2.9286,Medium,0
CID000166,Haryana,15487.0,Business Owner,693,325769.0,24,0,54045.0,75.6,0,10620.0,3.4897,Low,1
CID000167,Uttar Pradesh,37966.0,Salaried,703,363947.0,12,1,117215.0,79.8,0,12969.0,3.0874,Low,1
CID000168,Karnataka,83946.0,Business Owner,623,101522.0,24,2,267208.0,48.0,0,56738.0,3.1831,Medium,1
CID000169,Maharashtra,67439.0,Salaried,654,10000.0,48,4,153013.0,78.8,0,45988.0,2.2689,Medium,1
CID000170,West Bengal,127903.0,Salaried,603,124968.0,240,5,438928.0,52.4,1,73722.0,3.4317,High,0
CID000171,Maharashtra,43888.0,Salaried,562,237700.0,48,1,30399.0,58.0,1,31478.0,0.6926,High,0
CID000172,Maharashtra,58085.0,Salaried,610,371174.0,60,2,61685.0,88.6,1,33195.0,1.062,Medium,1
CID000173,Rajasthan,29756.0,Salaried,655,143085.0,120,0,147542.5,59.9,0,13752.0,4.9584,Medium,1
CID000174,Karnataka,168620.0,Salaried,531,316614.0,180,4,799839.0,57.2,0,62919.0,4.7434,High,0
CID000175,Telangana,46976.0,Salaried,616,10000.0,240,1,159728.0,74.1,1,36693.0,3.4002,High,0
CID000176,Karnataka,113145.0,Freelancer,657,766273.0,120,1,237463.0,96.9,0,66511.0,2.0987,Low,1
CID000177,Andhra Pradesh,35968.0,Self-Employed,745,201191.0,60,0,92107.0,100.0,0,23602.0,2.5608,Low,1
CID000178,Uttar Pradesh,37906.0,Salaried,624,501831.0,36,1,163198.0,92.8,0,21622.0,4.3053,Medium,1
CID000179,Assam,42326.0,Self-Employed,550,22949.0,60,1,124485.0,92.6,0,28425.0,2.9411,Medium,0
CID000180,Karnataka,44818.0,Self-Employed,633,248259.0,36,2,32062.0,69.5,1,16870.0,0.7154,Medium,1
CID000181,Uttar Pradesh,27320.0,Business Owner,604,22213.0,24,0,64909.0,100.0,0,11223.0,2.3759,Medium,1
CID000182,Maharashtra,40595.0,Salaried,694,1376169.1900000004,180,1,91181.0,74.0,0,29507.0,2.2461,Low,1
CID000183,Jharkhand,9851.0,Freelancer,622,45861.0,60,1,44817.0,69.3,1,3224.0,4.5495,High,0
CID000184,Bihar,51220.0,Salaried,433,911735.0,60,0,96004.0,77.7,1,27053.0,1.8743,High,0
CID000185,Tamil Nadu,8000.0,Business Owner,900,207334.0,84,0,11741.85,75.3,0,31478.0,1.4677,Low,1
CID000186,Telangana,109055.0,Salaried,661,224676.0,60,3,228655.0,43.7,0,31478.0,2.0967,Medium,1
CID000187,Haryana,63383.0,Salaried,657,1129683.0,60,0,44212.0,56.1,0,33770.0,0.6975,Medium,1
CID000188,West Bengal,14248.0,Salaried,526,114126.0,180,4,60487.0,77.6,0,9534.0,4.2453,Medium,0
CID000189,Rajasthan,89987.0,Self-Employed,532,376628.0,120,3,283992.0,54.2,1,40877.0,3.1559,High,0
CID000190,Tamil Nadu,43620.0,Salaried,642,326823.0,36,4,113943.0,69.4871955128205,0,22276.0,2.6122,Medium,1
CID000191,Maharashtra,97512.0,Business Owner,676,1149756.0,36,2,206657.0,70.7,1,40682.0,2.1193,Medium,1
CID000192,Bihar,41972.0,Salaried,706,103844.0,84,2,99870.0,88.7,0,14749.0,2.3794,Low,1
CID000193,Odisha,8000.0,Business Owner,668,386237.0,60,1,32362.0,67.5,1,3307.0,4.0452,Medium,1
CID000194,Telangana,42635.0,Freelancer,555,372380.0,120,1,147542.5,79.6,0,31942.0,3.4606,Medium,0
CID000195,Uttar Pradesh,44856.0,Self-Employed,449,222112.0,84,1,36848.0,33.8,1,24301.0,0.8215,High,0
CID000196,Uttar Pradesh,173114.0,Business Owner,641,357402.0,84,4,524148.0,37.8,1,98463.0,3.0278,High,0
CID000197,Andhra Pradesh,198585.0,Business Owner,607,282720.0,180,1,866839.0,53.9,0,133134.0,4.3651,Medium,1
CID000198,Bihar,50720.0,Salaried,548,58720.0,120,2,153684.0,76.2,1,37133.0,3.03,High,0
CID000199,Bihar,28019.0,Freelancer,716,802332.0,36,1,114393.0,54.4,0,8729.0,4.0827,Medium,1
CID000200,Madhya Pradesh,74307.0,Salaried,523,192218.0,180,2,335675.0,84.6,1,26919.0,4.5174,High,0
CID000201,Telangana,9087.0,Self-Employed,699,778039.0,48,3,11741.85,77.7,0,4667.0,1.2922,Low,1
CID000202,Maharashtra,20416.0,Business Owner,537,372535.0,180,0,64337.0,60.8,1,8160.0,3.1513,High,0
CID000203,Karnataka,8000.0,Salaried,660,53039.0,120,3,33979.0,74.5,0,4297.0,4.2474,Medium,1
CID000204,Bihar,86623.0,Salaried,724,918007.0,24,0,294165.0,61.1,0,52610.0,3.3959,Low,1
CID000205,West Bengal,51646.0,Self-Employed,622,151379.0,120,0,163300.0,76.3,0,28151.0,3.1619,Medium,1
CID000206,Maharashtra,51759.0,Freelancer,785,156533.0,60,1,209434.0,69.4871955128205,0,31478.0,4.0463,Low,1
CID000207,Maharashtra,148098.0,Government,803,151226.0,240,0,545398.0,77.9,0,45848.0,3.6827,Low,1
CID000208,Telangana,133077.0,Salaried,668,258180.0,60,0,366933.0,97.2,0,75966.0,2.7573,Low,1
CID000209,Maharashtra,46561.0,Business Owner,693,1182894.0,24,1,32506.0,45.3,0,30728.0,0.6981,Medium,1
CID000210,Karnataka,158671.0,Government,734,291798.0,36,2,517270.0,56.1,0,126670.0,3.26,Low,1
CID000211,Rajasthan,217934.0,Salaried,693,753640.0,60,2,318028.0,69.4871955128205,1,76844.0,1.4593,Medium,1
CID000212,Andhra Pradesh,32828.0,Salaried,684,288680.0,60,1,53949.0,76.2,0,10039.0,1.6434,Low,1
CID000213,Telangana,44067.0,Business Owner,608,535639.0,36,1,156788.0,86.8,0,19625.0,3.5579,Medium,1
CID000214,Karnataka,157323.0,Freelancer,515,364533.0,60,0,399431.0,35.2,1,73060.0,2.5389,High,0
CID000215,Andhra Pradesh,47210.0,Freelancer,538,372536.0,60,0,175881.0,66.3,1,33240.0,3.7255,High,0
CID000216,Tamil Nadu,15444.0,Salaried,840,365702.0,120,1,35004.0,70.6,0,6575.0,2.2665,Low,1
CID000217,Uttar Pradesh,18100.0,Salaried,675,349430.0,48,0,79914.0,87.6,0,7658.0,4.4151,Low,1
CID000218,Kerala,8000.0,Salaried,630,317262.0,60,0,19374.0,52.1,0,5881.0,2.4218,Medium,1
CID000219,Telangana,73319.0,Salaried,751,148682.0,48,1,199589.0,84.6,0,37727.0,2.7222,Low,1
CID000220,Punjab,56694.0,Salaried,590,286585.0,84,3,60561.0,75.9,0,35659.0,1.0682,Medium,1
CID000221,Telangana,23157.0,Business Owner,696,280136.0,120,2,64053.0,100.0,0,9355.0,2.766,Low,1
CID000222,West Bengal,105365.0,Salaried,656,347821.0,84,0,166382.0,100.0,0,63332.0,1.5791,Low,1
CID000223,Maharashtra,103018.0,Freelancer,686,145192.0,60,1,405212.0,85.9,0,76981.0,3.9334,Low,1
CID000224,Uttar Pradesh,119456.0,Salaried,623,401958.0,84,1,443564.0,64.8,1,79519.0,3.7132,High,0
CID000225,Tamil Nadu,31697.0,Self-Employed,572,268354.0,48,2,18108.0,79.8,0,11720.0,0.5713,Medium,0
CID000226,Tamil Nadu,70878.0,Salaried,584,350725.0,24,1,192940.0,81.6,1,25928.0,2.7221,High,0
CID000227,Maharashtra,48590.0,Salaried,587,287160.0,48,1,147542.5,80.5,0,17051.0,3.0365,Medium,1
CID000228,Uttar Pradesh,217086.0,Salaried,649,264710.0,60,1,664666.0,78.4,0,164877.0,3.0618,Medium,1
CID000229,Bihar,53088.0,Government,525,1243407.0,60,1,241941.0,80.7,1,32112.0,4.5574,High,0
